"req_df_br",""
28005,23.6855869293213
28006,23.5987281799316
28007,25.1164894104004
28008,24.4030742645264
28009,25.2258358001709
28010,24.2721366882324
28011,24.2721347808838
28012,23.9687652587891
28013,24.1022567749023
29001,23.7683544158936
29002,25.1562347412109
29003,23.6155166625977
29004,24.96506690979
29005,24.0348949432373
29006,25.392749786377
29007,25.5776119232178
29008,23.0346775054932
29009,22.9573421478271
29010,22.1489524841309
29011,23.1001949310303
29012,23.671365737915
29013,22.6528015136719
29014,23.231653213501
29015,23.5399932861328
29016,23.6882877349854
29017,24.1367702484131
29018,24.2742710113525
29019,24.4089202880859
29020,23.3974571228027
29021,24.4762229919434
29022,23.5256843566895
29023,21.799711227417
29024,22.4358596801758
29025,22.7310600280762
29026,24.2240200042725
29027,22.9436264038086
29028,22.0747032165527
29029,22.3166103363037
29030,23.1104946136475
29031,23.1284065246582
29032,23.3370246887207
31001,24.1070022583008
31002,23.8050689697266
31003,24.508243560791
31004,24.2064342498779
31005,22.0753021240234
31006,24.2926559448242
31007,24.0776805877686
31008,22.7550468444824
31009,22.7943840026855
31010,20.5673713684082
31011,22.4639091491699
31012,23.0546474456787
31013,22.0801868438721
31014,21.9979476928711
31015,23.1358203887939
31016,23.4865550994873
31017,25.7227954864502
31018,23.868465423584
31019,22.4428291320801
31020,21.8700847625732
31021,25.6111755371094
31022,23.732666015625
31023,21.3716697692871
31024,23.2310180664062
31025,22.6697330474854
31026,22.2472896575928
31027,21.8151817321777
31028,21.0888710021973
31029,21.691593170166
31030,20.972375869751
31031,21.6143074035645
31032,20.4291820526123
31033,20.5504417419434
31034,19.5935516357422
31035,21.7901401519775
31036,22.643274307251
31037,23.9627895355225
31038,23.6548824310303
31039,22.9512786865234
31040,23.2214908599854
31041,23.0586471557617
31042,21.4039897918701
31043,21.0388851165771
31044,21.0932273864746
31045,20.7264137268066
31046,19.8574352264404
31047,21.8461475372314
31048,21.8011436462402
31049,21.241584777832
31050,21.1803226470947
31051,20.7412662506104
31052,20.1499214172363
31053,20.5365467071533
31054,18.8013305664062
31055,19.5147838592529
31056,19.5045318603516
31057,20.4531955718994
31058,19.6631011962891
31059,19.1537952423096
31060,22.390417098999
31061,20.8135166168213
31062,20.9548187255859
31063,21.4278526306152
31064,21.6189403533936
31065,20.9465255737305
31066,22.636173248291
32001,23.8196773529053
32002,23.8599758148193
32003,23.0230197906494
32004,24.0386142730713
32005,24.3409938812256
32006,24.1593704223633
32007,20.6296901702881
32008,21.6208171844482
32009,20.0424957275391
32010,23.6245880126953
32011,21.0621738433838
32012,23.7979774475098
32013,24.2930488586426
33001,23.1777896881104
33002,23.5570125579834
33003,24.1573657989502
33004,20.8612861633301
33005,21.6910762786865
33006,22.9975967407227
33007,20.4375534057617
33008,22.2684993743896
33009,23.118106842041
33010,24.4766941070557
33011,21.4586181640625
33012,22.030366897583
33013,22.1858215332031
33014,22.9408931732178
33015,20.9644718170166
33016,23.1175422668457
33017,24.121711730957
33018,24.599250793457
35001,26.1253662109375
35002,25.6595077514648
35003,25.5334529876709
35004,25.6750583648682
35005,25.1395721435547
35006,25.7303314208984
35007,25.3691177368164
35008,25.9969139099121
35009,25.2204265594482
35010,24.7354030609131
35011,23.8552570343018
35012,23.093677520752
35013,24.6785564422607
35014,23.8623447418213
35015,22.7673149108887
35016,26.4506359100342
35017,25.9206008911133
35018,25.9249248504639
35019,25.6829872131348
35020,24.7480792999268
35021,24.7265682220459
35022,23.6958103179932
35023,23.9133529663086
35024,24.7641277313232
35025,23.7523422241211
35026,23.4853935241699
35027,23.4296035766602
35028,24.1385669708252
35029,23.0261611938477
35030,21.7640514373779
35031,22.7482566833496
35032,23.3881912231445
35033,21.6888790130615
35034,26.2153663635254
35035,25.6066093444824
35036,25.7820281982422
35037,25.2759742736816
35038,24.5633010864258
35039,24.9444046020508
35040,24.0680923461914
35041,22.7768821716309
35042,23.2826652526855
35043,23.7550144195557
35044,22.2452545166016
35045,22.7180061340332
35046,23.1263236999512
35047,22.3933773040771
35048,21.424596786499
35049,19.3059387207031
35050,21.2797088623047
35051,21.1221446990967
35052,20.213264465332
35053,21.3801002502441
35054,22.3438377380371
35055,24.1672058105469
35056,23.936580657959
35057,22.0641708374023
35058,21.9036598205566
35059,21.5872173309326
35060,21.9690818786621
35061,22.0461978912354
35062,22.0072841644287
35063,22.2386093139648
41001,26.1274642944336
41002,25.6257820129395
41003,25.4033889770508
41004,24.46653175354
41005,24.1548728942871
41006,25.6159801483154
41007,25.3390464782715
41008,25.338005065918
41009,24.9219532012939
41010,23.5674247741699
41011,23.4625129699707
41012,23.5234718322754
41013,22.9663162231445
41014,23.2374897003174
41015,24.191104888916
41016,24.1412830352783
41017,22.6521034240723
41018,23.3594570159912
41019,21.3449611663818
41020,20.9711589813232
41021,20.9503517150879
41022,25.7463912963867
41023,23.7580509185791
41024,25.6992454528809
41025,24.4868106842041
41026,23.0442905426025
41027,22.3885135650635
41028,21.9957790374756
41029,20.9844436645508
41030,20.1738166809082
41031,20.9631938934326
41032,20.9772510528564
41033,20.3352966308594
41034,21.5261936187744
41035,22.5527362823486
41036,21.2724800109863
41037,21.2691230773926
41038,23.6058387756348
41039,21.0568332672119
42001,23.639986038208
42002,23.6814422607422
42003,21.480655670166
42004,20.6364459991455
42005,22.8674182891846
42006,21.2696056365967
42007,21.4818172454834
42008,23.6412544250488
42009,21.3344821929932
42010,20.4316806793213
42011,22.0915355682373
42012,23.2730007171631
42013,24.6137294769287
42014,21.6184864044189
42015,22.9766159057617
42016,23.7739410400391
42017,21.4575157165527
42018,24.5281600952148
42019,23.9526271820068
42020,24.0695610046387
43001,25.9226341247559
43002,24.9054756164551
43003,24.1221771240234
43004,22.8434867858887
43005,22.3918933868408
43006,26.161096572876
43007,26.0693187713623
43008,24.4957847595215
43009,23.3819236755371
43010,22.5354194641113
43011,24.4356288909912
43012,23.6731605529785
43013,23.7158660888672
43014,23.171594619751
43015,21.5185146331787
43016,23.2164649963379
43017,25.3291282653809
43018,26.4418354034424
43019,26.1693382263184
43020,25.4304141998291
43021,24.9681262969971
43022,26.7598705291748
43023,25.6656131744385
43024,24.2912464141846
43025,26.0345897674561
43026,26.1455383300781
43027,24.3061275482178
43028,25.9482936859131
43029,26.538028717041
43030,25.846508026123
43031,25.593620300293
43032,25.9052238464355
43033,25.9297637939453
43034,25.7765254974365
43035,25.9191837310791
50001,30.0913009643555
50002,28.9797306060791
50003,26.5053653717041
50004,26.2897319793701
50005,24.6216793060303
50006,26.0567970275879
50007,26.157413482666
50008,26.1426830291748
50009,27.9195175170898
50010,26.1278095245361
50011,25.9532947540283
51001,24.0991897583008
51002,24.3770580291748
51003,24.3322410583496
51004,24.5194606781006
51005,24.6635723114014
51006,24.5129451751709
51007,23.9877033233643
51008,24.2566604614258
51009,25.3230819702148
51010,24.843168258667
51011,25.9916896820068
51012,25.8603763580322
51013,26.0460510253906
51014,27.0856189727783
51015,26.1154460906982
51016,26.021671295166
51017,26.6584892272949
51018,28.6082859039307
51019,23.6451854705811
51020,24.5329780578613
51021,25.1103248596191
51022,23.7821178436279
52001,26.2196350097656
52002,25.605583190918
52003,25.3367462158203
52004,25.8010845184326
52005,24.788875579834
52006,24.24245262146
52007,23.0198192596436
52008,24.4455738067627
52009,23.7790145874023
52010,23.2964935302734
52011,24.6523399353027
52012,23.7558307647705
52013,23.8516139984131
52014,24.5979709625244
52015,24.3162803649902
52016,23.4609489440918
52017,23.5221405029297
52018,25.3266086578369
53001,23.0673885345459
